OPERATORE;ID IMPIANTO;TIPO;UBICAZIONE;LAT.;LONG.;ALTITUDINE;CANALE;BOUQUET;ERP MAX H;ERP MAX V;FREQ. CENTRALE/PORTANTE
PREMIATA DITTA BORGHINI & STOCCHETTI DI TORINO S.R.L.;CNF105787;TD;VIA SCARLATTI - VIA SCARLATTI - MILANO;45N2902;09E1224;120;57;B&S;45;;762
"""TELESETTELAGHI S.R.L.""";CNF105789;TD;GRATTACIELO STEPHENSON - VIA STEPHENSON N° 43A - MILANO;45N2837;09E0901;123;34;TELESETTELAGHI;39;;578
STARTUP COMMUNICATION SRL;CNF105793;TD;MILANO VIA CASATI - GRATTACIELO BREDA - MILANO;45N2858;09E1209;128;35;StartUp;32;;586
PERSIDERA S.P.A.;CNF127523;TD;MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO;45N2846;09E1156;125;48;TIMB3;18;;690
RAI WAY S.P.A.;CNF128046;TD;MILANO - CORSO SEMPIONE - MILANO;45N2843;09E0957;130;9;DVM1-MI;37;;205,5
RAI WAY S.P.A.;CNF128047;TD;MILANO - CORSO SEMPIONE - MILANO;45N2843;09E0957;130;30;DVM2;37;;546
RAI WAY S.P.A.;CNF128048;TD;MILANO - CORSO SEMPIONE - MILANO;45N2843;09E0957;130;26;DVM3;37;;514
RAI WAY S.P.A.;CNF128049;TD;MILANO - CORSO SEMPIONE - MILANO;45N2843;09E0957;130;40;DVM4;39;;626
MULTIMEDIA SAN PAOLO SOCIETA' A RESPONSABILITA' LIMITATA;CNF128922;TD;MI Silva - Milano via Silva 36 - MILANO;45N2845;09E0848;129;59;MSP1;33;;778
PERSIDERA S.P.A.;CNF129019;TD;MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO;45N2846;09E1156;125;47;TIMB1;18;;682
PERSIDERA S.P.A.;CNF129108;TD;MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO;45N2846;09E1156;125;55;TIMB2;18;;746
STUDIO TV 1 NEWS S.R.L.;CNF129599;TD;MILANO-CORSO SEMPIONE - CORSO SEMPIONE - MILANO;45N2840;09E0958;124;31;Studio1;33;;554
UNITEDCOM S.R.L.;CNF134759;TD;MI BREDA - VIA CASATI GRATTACIELO BREDA - MILANO;45N2848;09E1158;128;25;UNITEDCOM 1;21;;506
RAI WAY S.P.A.;CNF136202;TD;MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO;45N2841;09E0924;129;23;DVM1-MI;;14;490
RAI WAY S.P.A.;CNF136203;TD;MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO;45N2841;09E0924;129;30;DVM2;;15;546
RAI WAY S.P.A.;CNF136204;TD;MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO;45N2841;09E0924;129;26;DVM3;;14;514
RAI WAY S.P.A.;CNF136205;TD;MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO;45N2841;09E0924;129;40;DVM4;;15;626
PERSIDERA S.P.A.;CNF137177;TD;CORSO SEMPIONE - CORSO SEMPIONE - MILANO;45N2842;09E0957;130;33;RETE A - 2;39;;570
PERSIDERA S.P.A.;CNF137178;TD;MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO;45N2846;09E1156;133;44;RETE A - 1;16;;658
BEACOM S.R.L.;CNF137840;TD;VIA SILVA - MILANO - MILANO;45N2845;09E0849;254;21;SANPAOLOTV;43;;474
3LETTRONICA INDUSTRIALE S.P.A.;CNF138337;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;45N2849;09E1158;121;37;LA3TV;26;;602
CAIRO NETWORK S.R.L.;CNF138341;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;45N2849;09E1158;121;25;CAIRO DUE;26;;506
ELETTRONICA INDUSTRIALE SPA;CNF138372;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;45N2849;09E1158;121;52;MEDIASET 1;27;;722
ELETTRONICA INDUSTRIALE SPA;CNF138374;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;45N2849;09E1158;121;36;MEDIASET 2;26;;594
ELETTRONICA INDUSTRIALE SPA;CNF138376;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;45N2849;09E1158;121;38;MEDIASET 3;26;;610
ELETTRONICA INDUSTRIALE SPA;CNF138378;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;45N2849;09E1158;121;49;MEDIASET 4;27;;698
ELETTRONICA INDUSTRIALE SPA;CNF138380;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;45N2849;09E1158;121;56;MEDIASET 5;27;;754
PRIMA TV - S.P.A.;CNF138393;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;45N2849;09E1158;121;50;DFree;27;;706
NECTOR LTD;CNF158308;TD;SAN COLOMBANO - S. Colombano al Lambro - SAN COLOMBANO AL LAMBRO;45N1026;09E2902;144;43;PIU BLU LOMBARDIA;35;;650
TELELIBERTA' - SOCIETA' PER AZIONI;CNF158841;TD;MILANO VIA STEPHENSON - MILANO - MILANO;45N3037;09E0732;140;22;TELELIBERTA';37;;482
